"resp","response_token","timestamp","p1q1","p1q2","p1q3","p1q4a","p1q4b","p1q5a","p1q5b","p1q6","p1q6a","p1q7","p1q7a","p1q7b","p1q8","p1q9","p1q10","p1q11","p1q12","p1q13","p1q14","p1q15","p1q16","p1q17a","p1q17b","p1q17c","p1q18a","p1q18b","p1q18c","p1q19","p1q20","p1q21","p1q22","p1q23","p1q24","p1q25","p1q26","p1q26a","p1q27","p1q27a","p1q27b","p1q28","p1q29","p1q30","p1q31","p1q32","p1q33","p1q34a","p1q34b","p1q34c","p1q35a","p1q35b","p1q35c","p1q36","p1q37","p1q37a","p1q38","p1q38a","p1q39","p1q40"
"1","e6444abd1e3731d5f9f4205c750fc6b2ad96da67cd857eae93c1564d578f1d5b","1431538817","0","yes_def","yes","very_neg","neg","very_neg","neg","yes","16_17","yes","cigarette,hookah,ecig,with_marijauna,cigar,chewing","5_10_total","yes_def","ge14","ge14","3_4","11_13","much_less","adequate","yes","yes","neutral","neg","ver_pos","neg","neg","neutral","no","yes","v_conf","v_conf","twice","ge9","ge9","yes","17_18","yes","yes","1_per_week","no","yes_def","yes_def","neither","neither","yes","pos","slightly_pos","neutral","neutral","neutral","neg","ge9","yes","NANS","yes","5_10_total","no","no"
"2","f98abf067bcc9772630fdd3459cfaf0223657b3c535535983cc56f0bdf523008","1431538934","0","no","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","yes_def","ge14","ge14","3_4","3_4","about_same","adequate","yes","yes","sli_neg","sli_neg","neutral","neutral","slightly_pos","sli_neg","no","no","v_conf","unconf","once","ge9","6_8","yes","17_18","yes","yes","1_per_week","no","yes_def","yes_def","neither","sup","no","sli_neg","sli_neg","neg","slightly_pos","slightly_pos","slightly_pos","ge9","no","NANS","no","NANS","no","no"
"3","f3b727e409d9e206c5bf4e5a5bf818540ac087be465fb5c3b65aabff99d74986","1431539001","0","no","no","very_neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","2","2","5_7","5_7","about_same","adequate","yes","yes","neutral","neutral","slightly_pos","sli_neg","neutral","slightly_pos","no","yes","unconf","unconf","never","never","never","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","yes_def","neither","neither","no","slightly_pos","slightly_pos","sli_neg","neutral","neutral","neutral","twice","no","NANS","yes","not_past_12","no","no"
"4","31e1e28130188bd273d65dac2f9f9570ed1cd1ad42075be73bc20e9b532d64c9","1431539014","0","yes_def","no","neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","2","2","5_7","1_2","not_sure","inadequate","yes","unsure","neg","neutral","pos","sli_neg","neg","neutral","no","no","conf","neither","once","6_8","6_8","yes","15_16","yes","NANS","5_10_total","no","yes_def","yes_def","opp","strong_opp","no","very_neg","very_neg","very_neg","neutral","neutral","neutral","3_5","no","NANS","no","NANS","no","no"
"5","ea3d52263e8234eb42b94e45bc3fa6e978bed23cb710c2eb487729f60afc6e7e","1431539207","0","yes_def","no","very_neg","neutral","neg","neutral","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar,pipe","1_per_month","yes_def","5_7","5_7","3_4","5_7","less","adequate","yes","yes","pos","slightly_pos","neutral","pos","sli_neg","pos","no","no","v_conf","conf","once","6_8","3_5","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","no","ver_pos","ver_pos","slightly_pos","pos","pos","neutral","6_8","no","NANS","yes","2_5_per_week","no","no"
"6","17831f3a43de7676c7cdb59a995611859c8d3e5c474a36e9a527c3c68d0dcbfe","1431539275","0","unsure","no","very_neg","very_neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","1_2","about_same","adequate","yes","yes","neg","very_neg","neutral","sli_neg","neg","slightly_pos","no","no","neither","neither","never","6_8","6_8","yes","17_18","yes","no","1_per_month","no","yes_def","unsure","sup","neither","no","sli_neg","neg","very_neg","neutral","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"7","2327ba52cf6d7fc6980f8d56444eb3956b688d18759087426dc6a09ac1e1fa38","1431539312","0","no","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","yes_def","1","0","1_2","0","not_sure","unsure","no","no","very_neg","very_neg","neg","neg","neg","neutral","no","no","v_conf","v_conf","never","never","twice","no","NANS","no","NANS","NANS","NANS","think_so","think_so","neither","strong_opp","no","very_neg","very_neg","very_neg","sli_neg","sli_neg","sli_neg","never","no","NANS","no","NANS","no","no"
"8","122bd0fd7aaeb2a0216dea255415bcfd2f8c816bda0045d5ed8f89ff11e50214","1431539440","0","yes_def","no","very_neg","sli_neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","5_7","much_less","comprehensive","yes","yes","sli_neg","neg","pos","neg","very_neg","slightly_pos","unsure","yes","v_conf","conf","once","3_5","3_5","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","think_so","sup","sup","no","pos","slightly_pos","sli_neg","sli_neg","neg","neg","twice","no","NANS","no","NANS","no","no"
"9","873a3620e4b292778984daa9fb07d9dc6baa415c45ba13f6c2075377ad3ee2e1","1431539460","0","no","no","neg","sli_neg","sli_neg","neutral","no","NANS","no","NANS","NANS","think_so","1","1","1_2","0","about_same","unsure","unsure","no","neg","sli_neg","pos","sli_neg","neutral","slightly_pos","no","no","unconf","unconf","never","ge9","twice","no","NANS","yes","no","5_10_total","no","unsure","no","sup","neither","no","neutral","neutral","sli_neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"10","6c1d28a239ee7834cedb5c5e0a49dc1cf969a7e93c28c6b0e0910648c739786d","1431539521","0","yes_def","no","very_neg","very_neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","5_7","5_7","8_10","less","adequate","yes","yes","pos","neg","pos","neutral","neg","neutral","no","no","conf","neither","3_5","3_5","3_5","yes","15_16","yes","yes","1_per_week","no","yes_def","yes_def","strong_sup","sup","yes","pos","pos","neutral","slightly_pos","neutral","sli_neg","6_8","yes","NANS","yes","1_5_total","no","no"
