"resp","response_token","timestamp","p2q1","p2q2","p2q3","p2q4","p2q5","p2q6","p2q7a","p2q7b","p2q7c","p2q7d","p2q7e","p2q7f","p2q7g","p2q8a","p2q8b","p2q8c","p2q8d","p2q8e","p2q8f","p2q8g","p2q9","p2q10","p2q11","p2q12","p2q13","p2q14a","p2q14b","p2q14c","p2q15a","p2q16","p2q16a","p2q16b","p2q16c","p2q16d","p2q16e","p2q17","p2q17a","p2q17b","p2q17c","p2q17d","p2q17e","p2q18a","p2q18b","p2q19a","p2q19b","p2q19c","p2q19d","p2q19e","p2q19f","p2q20","p2q20a","p2q20b","p2q20c","p2q20d","p2q20e","p2q20f","p2q20g","p2q21","p2q21a","p2q21b","p2q21c","p2q21d","p2q21e","p2q21f","p2q22","p2q22a","p2q22b","p2q22c","p2q22d","p2q22e","p2q22f","p2q23","p2q23a","p2q23b","p2q23c","p2q23d","p2q23e","p2q24a","p2q24b","p2q25a","p2q25b","p2q25c","p2q25d","p2q26"
"1","f98abf067bcc9772630fdd3459cfaf0223657b3c535535983cc56f0bdf523008","1431539064","no","no","adequate","unconf","unconf","never","very_neg","very_neg","sli_neg","sli_neg","very_neg","very_neg","very_neg","neg","neg","slightly_pos","pos","neutral","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"2","31e1e28130188bd273d65dac2f9f9570ed1cd1ad42075be73bc20e9b532d64c9","1431539145","yes_def","yes_def","inadequate","v_unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","sli_neg","neg","neutral","neutral","pos","neutral","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"3","f3b727e409d9e206c5bf4e5a5bf818540ac087be465fb5c3b65aabff99d74986","1431539211","think_so","no","adequate","v_unconf","v_unconf","never","neg","very_neg","sli_neg","sli_neg","sli_neg","neg","very_neg","neg","very_neg","neg","neg","neg","neg","very_neg","no","no","once","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"4","17831f3a43de7676c7cdb59a995611859c8d3e5c474a36e9a527c3c68d0dcbfe","1431539396","yes_def","unsure","inadequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","neg","neg","neg","neg","neg","neg","no","no","once","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"5","ea3d52263e8234eb42b94e45bc3fa6e978bed23cb710c2eb487729f60afc6e7e","1431539460","yes_def","unsure","inadequate","neither","neither","never","slightly_pos","neg","slightly_pos","neg","very_neg","ver_pos","slightly_pos","sli_neg","very_neg","neg","neg","very_neg","neutral","neutral","no","no","twice","online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,phys_add,avail,other_users","once","never","never","never","yes","10_100","never","never","never","never","yes","never","never","once","never","never","never","never","twice","once","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"6","e6444abd1e3731d5f9f4205c750fc6b2ad96da67cd857eae93c1564d578f1d5b","1431539471","yes_def","yes_def","adequate","conf","neither","twice","pos","neg","pos","pos","neg","pos","neg","very_neg","very_neg","neutral","neg","very_neg","neg","very_neg","no","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads,other","main_effects,short_term_se,long_term_se,phys_add,psy_add,other_users","10_100","10_100","never","never","yes","10_100","never","never","never","never","yes","twice","never","3_10","never","once","never","once","3_10","never","never","once","never","never","yes","twice","never","3_10","never","never","never","never","yes","never","never","twice","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","yes","3_10","never","never","3_10","never","once","never","never","never","never","never","no"
"7","2327ba52cf6d7fc6980f8d56444eb3956b688d18759087426dc6a09ac1e1fa38","1431539487","no","no","adequate","v_conf","v_conf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","neg","neg","neg","very_neg","neg","no","no","twice","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","once","never","once","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"8","873a3620e4b292778984daa9fb07d9dc6baa415c45ba13f6c2075377ad3ee2e1","1431539566","no","no","unsure","v_unconf","v_unconf","never","sli_neg","neg","sli_neg","neg","sli_neg","sli_neg","neg","sli_neg","neg","neutral","sli_neg","sli_neg","neutral","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"9","122bd0fd7aaeb2a0216dea255415bcfd2f8c816bda0045d5ed8f89ff11e50214","1431539650","yes_def","yes_def","inadequate","unconf","unconf","never","very_neg","very_neg","neutral","very_neg","very_neg","neutral","very_neg","very_neg","very_neg","neg","very_neg","very_neg","neg","very_neg","no","no","never","gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"10","6c1d28a239ee7834cedb5c5e0a49dc1cf969a7e93c28c6b0e0910648c739786d","1431539727","yes_def","no","adequate","unconf","v_unconf","never","very_neg","very_neg","sli_neg","sli_neg","neg","sli_neg","very_neg","very_neg","very_neg","neg","neg","very_neg","neg","very_neg","no","no","never","online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
