"resp","response_token","timestamp","fu_json","p3q1","p3q2","p3q3","p3q3a","p3q4","p3q5","p3q6","p3q7","p3q8","p3q9","p3q10","p3q11","p3q12","p3q13","p3q14","p3q15","p3q16a","p3q16b","p3q16c","p3q16d","p3q16e","p3q16f","p3q16g","p3q16h","p3q16i","p3q16j","p3q16k","p3q16l","p3q16m","p3q16n","p3q16o","p3q16p","p3q17a","p3q17b","p3q17c","p3q17d","p3q17e","p3q17f","p3q17g","p3q17h","p3q17i","p3q17j","p3q17k","p3q18","p3q19","p3q20","p3q21","p3q22","p3q23","p3q24","p3q25","p3q26","p3q27","p3q28","p3q29","p3q30","p3q31a","p3q31b","p3q31c","p3q31d","p3q31e","p3q31f","p3q31g","p3q31h","p3q31i","p3q31j","p3q31k","p3q31l","p3q31m","p3q31n","p3q31o","p3q31p","p3q31q","p3q32a","p3q32b","p3q32c","p3q32d","p3q32e","p3q32f","p3q32g","p3q32h","p3q32i","p3q32j","p3q32k","p3q33","p3q34a","p3q34b","p3q34c","p3q34d","p3q34e","p3q34f","p3q34g","p3q34h","p3q34i","p3q34j","p3q34k","p3q34l","p3q34m","p3q34n","p3q34o"
"1","f98abf067bcc9772630fdd3459cfaf0223657b3c535535983cc56f0bdf523008","1431539209",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,off_campus,unregistered_parties,parents,lower_drinking_age","parents","wine","3_10","10_100","no","others_parties","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","yes","no","never","ge3","never","never","never","never","never","twice","ge3","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"2","31e1e28130188bd273d65dac2f9f9570ed1cd1ad42075be73bc20e9b532d64c9","1431539227",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","NANS","NANS","wine","once","3_10","no","my_parties","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"3","f3b727e409d9e206c5bf4e5a5bf818540ac087be465fb5c3b65aabff99d74986","1431539437",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,off_campus,no_id","given_friends","wine","3_10","3_10","no","at_lg_socializing","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","twice","never","never","never","never","never","never","never","twice","never","once","bowl","given_friends","20","2","no","elsewhere_socializing","no","no","NANS","NANS","NANS","NANS","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"4","17831f3a43de7676c7cdb59a995611859c8d3e5c474a36e9a527c3c68d0dcbfe","1431539480",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","NANS","NANS","liquor","once","twice","no","others_parties","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"5","2327ba52cf6d7fc6980f8d56444eb3956b688d18759087426dc6a09ac1e1fa38","1431539545",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"6","873a3620e4b292778984daa9fb07d9dc6baa415c45ba13f6c2075377ad3ee2e1","1431539664",,"NANS","NANS","NANS","NANS","3_10","no","21","3","NANS","NANS","NANS","wine","never","never","no","elsewhere_socializing","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"7","ea3d52263e8234eb42b94e45bc3fa6e978bed23cb710c2eb487729f60afc6e7e","1431539804","caffeine_with_alcohol=no&whippits_amount=5_10&psychedelics_trip_sitter=sometimes&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=given_friends","10_100","yes","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties,official_parties,no_id,other_id,lower_drinking_age,made_yourself","bought_friends","beer","10_100","10_100","no","my_parties","yes","no","yes","yes","yes","yes","no","yes","no","no","yes","yes","yes","yes","no","no","never","ge3","never","never","never","never","never","once","ge3","ge3","never","10_100","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing","bought_friends_MIT,bought_non_MIT,MIT_FSILG_parties,given_friends","19","2","yes","at_lg_socializing","no","no","yes","joint","given_friends","NANS","yes","no","yes","yes","yes","yes","no","yes","no","no","yes","yes","yes","yes","no","no","yes","never","ge3","never","never","never","never","never","never","ge3","never","NANS","ge3","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"8","122bd0fd7aaeb2a0216dea255415bcfd2f8c816bda0045d5ed8f89ff11e50214","1431539844",,"NANS","NANS","NANS","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,off_campus,unregistered_parties,student_group_events","off_campus","liquor","10_100","10_100","no","elsewhere_socializing","yes","no","yes","yes","unsure","yes","no","no","unsure","no","no","no","no","yes","no","no","never","never","once","never","never","never","never","once","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"9","7405beabe4dbeb1c3af4e9d92ab17b87b175937c0efa6109eb6cf02b0c18a375","1431539905",,"NANS","NANS","NANS","NANS","3_10","yes","21","3","NANS","NANS","NANS","liquor","twice","twice","no","others_parties","yes","no","yes","yes","no","yes","yes","yes","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"10","21c882976918e2d85dbc0fe94fad2989b4a83ca302857dbe3140bc97090c7e3a","1431539908","heroin_with_cocaine=no&heroin_circumstances=socializing&heroin_obtained=given_friends&presc_stim_use_past_12=1_per_week&presc_stim_prescribed=no&presc_stim_form=snorting&presc_stim_obtained=given_friends&presc_stim_source_prescribed=no&presc_stim_academic_use=yes_not_eff&presc_stim_with_alcohol=unsure","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","twice","ge3","twice","once","twice","once","once","twice","twice","twice","ge3","twice","once","twice","once","ge3"
"11","8668323501d81e4cf673c3699b5ee87730d20cde9ef999586ae99a09b90eb47a","1431540008",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"12","df6505fbb91d6281b981c1c7f850bc8238c51d5433ecf1e3621d41afff9119cc","1431540040",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","other","other","liquor","3_10","3_10","no","others_parties","no","no","yes","yes","no","yes","no","no","yes","no","no","no","no","yes","no","no","never","twice","never","never","never","never","never","never","once","once","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"13","3d325b6992516aca5d727245549cd9fd62031c944e0b4a3bbceedc8e489c45c9","1431540173",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,unregistered_parties,official_parties","MIT_FSILG_parties","high_alc","twice","never","yes","others_parties","no","yes","yes","yes","no","yes","no","no","yes","no","no","no","no","yes","yes","yes","twice","twice","twice","never","never","never","never","never","never","twice","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"14","e6444abd1e3731d5f9f4205c750fc6b2ad96da67cd857eae93c1564d578f1d5b","1431540170","caffeine_with_alcohol=yes&cocaine_circumstances=others_parties&cocaine_obtained=bought_non_MIT&whippits_amount=5_10&psychedelics_trip_sitter=sometimes&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=no&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Conline&lsd_obtained=online&lsd_dose=50_150&presc_stim_use_past_12=5_10_total&presc_stim_prescribed=no&presc_stim_form=whole_pill%2Csnorting&presc_stim_obtained=bought_friends_MIT%2Cbought_non_MIT%2Cgiven_friends%2Conline&presc_stim_source_prescribed=yes&presc_stim_academic_use=yes_effective&presc_stim_with_alcohol=yes","10_100","no","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party","bought_friends","liquor","10_100","10_100","no","my_parties","yes","NANS","yes","yes","yes","yes","no","yes","no","no","yes","no","no","no","no","no","never","ge3","never","ge3","never","never","never","ge3","never","ge3","never","10_100","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing","bought_friends_MIT,bought_non_MIT,MIT_FSILG_parties,given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","yes","vaporizer","bought_friends_MIT","NANS","yes","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","ge3","never","never","never","never","never","never","never","ge3","never","never","never","ge3","never","never","never","ge3","never","never","never","never","never","never","never"
"15","05ee01cf8eaf4b21b3ac308648996ef383376efd90855f896de2964347728eff","1431540243",,"NANS","NANS","NANS","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,parents","given_friends","high_alc","10_100","3_10","no","at_lg_socializing","yes","no","yes","yes","no","yes","no","yes","yes","yes","no","no","yes","yes","yes","no","once","ge3","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"16","05f768d1a5f5bd1b7c0b33f4686d9798aa00726a9931459578bb2f14d5cfb520","1431540242","caffeine_with_alcohol=yes","3_10","no","yes","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties","MIT_FSILG_parties","beer","10_100","10_100","no","my_parties","no","no","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","never","ge3","never","never","never","never","twice","once","never","ge3","never","10_100","joint,blunt,bowl,bong,vaporizer,edible","bought_friends_MIT,given_friends","NANS","NANS","NANS","at_lg_socializing","no","no","yes","edible","bought_friends_MIT","NANS","no","no","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","ge3","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"17","07766ff6f94cc55a1fd972e7c670a3aa043155cc53b1d3eb1adfb5ea42a1703f","1431540271",,"NANS","NANS","NANS","NANS","3_10","no","20","3","NANS","given_friends,other","given_friends","wine","once","twice","no","other","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"18","368675bdd56b5c19f4c020589ad227fef4aebca3d83832db6e91f40678c13623","1431540347","caffeine_with_alcohol=no","NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,parents","given_friends","liquor","twice","3_10","no","at_lg_socializing","yes","no","yes","yes","no","yes","yes","no","no","no","no","no","no","yes","no","no","never","twice","never","never","never","never","never","never","never","once","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"19","c759597b339831f55a954a081fe3bcc9a8f4e450e1380db3cebbf0a29d7e9045","1431540358",,"NANS","NANS","NANS","NANS","3_10","yes","17","1","NANS","given_friends","unregistered_parties","liquor","once","3_10","no","at_lg_socializing","yes","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","never","twice","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"20","608f15e6cf876bf93d7ee94f222b7d449e9c54d5835de6e81c3db91e3ce1c9c2","1431540352",,"3_10","no","no","NANS","3_10","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,off_campus,parents","given_friends","high_alc","once","once","no","at_lg_socializing","yes","no","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","3_10","joint,vaporizer","given_friends","18","1","yes","elsewhere_socializing","no","no","no","vaporizer","given_friends","NANS","yes","no","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"21","dffb312a16e505cc7e04de78d763883c649979de109f117a7a9b8a39992a2856","1431540352","whippits_amount=3_5","10_100","no","no","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,off_campus,unregistered_parties","given_friends","liquor","10_100","10_100","no","my_parties","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","yes","no","never","ge3","never","never","never","never","never","never","never","once","never","gt100","joint,bowl,bong,improvised,vaporizer,edible,dabbing","bought_friends_MIT,bought_non_friends_MIT,bought_non_MIT,MIT_FSILG_parties,given_friends","NANS","NANS","NANS","at_lg_socializing","no","yes","yes","bowl","bought_friends_MIT","NANS","yes","no","yes","yes","no","yes","no","yes","no","no","no","no","no","no","yes","no","no","never","ge3","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"22","cf75e42e5093403a40590e25ecb01df1bf7f71ebf3b23b3cfb9bc62dd08598e0","1431540415",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"23","97541c1d2b2430165bbe0103907903fcb9eb7b48cb20d66b9b1330b9cd1f850f","1431540423","cocaine_circumstances=socializing&cocaine_obtained=given_friends&whippits_amount=3_5&presc_stim_use_past_12=5_10_total&presc_stim_prescribed=no&presc_stim_form=whole_pill&presc_stim_obtained=given_friends&presc_stim_source_prescribed=yes&presc_stim_academic_use=yes_effective&presc_stim_with_alcohol=yes","gt100","no","yes","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties,parents,no_id,other_id,fake_id","given_friends","liquor","10_100","10_100","no","others_parties","no","no","yes","yes","no","yes","yes","yes","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","never","never","twice","never","10_100","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing","bought_friends_MIT,bought_non_friends_MIT,given_friends","NANS","NANS","NANS","at_lg_socializing","no","no","yes","joint","bought_friends_MIT","NANS","no","no","yes","yes","no","yes","no","yes","no","no","no","no","yes","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","ge3","never","ge3","never","never","never","never","never","never","never","never","never","never","never","never","never"
"24","5e32a50b077fecaa50af0ca0cbd53fb360c056200325225c7be0c29e97f222d4","1431540437",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,unregistered_parties,parents","given_friends","beer","never","once","no","at_lg_socializing","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"25","dd79a956114eaaa8e35f4041636b7c0297b5dff76dea3d6f8994df2fb5401648","1431540456",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties","MIT_FSILG_parties","liquor","10_100","10_100","no","others_parties","yes","yes","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","never","ge3","never","never","never","never","never","never","never","twice","never","once","joint","given_friends","19","1","yes","NANS","no","no","yes","joint","other","NANS","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"26","91ff52deafb7c36df442f5b616a985c749240917e6726bfdd244ee51679cfa73","1431540517",,"NANS","NANS","NANS","NANS","10_100","yes","18","1","NANS","given_friends,MIT_FSILG_parties,unregistered_parties,lower_drinking_age","given_friends","liquor","3_10","3_10","no","elsewhere_socializing","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","never","twice","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
