"resp","response_token","timestamp","pdq1","pdq2","pdq3","pdq4","pdq5","pdq6","pdq7","pdq8"
"1","e6444abd1e3731d5f9f4205c750fc6b2ad96da67cd857eae93c1564d578f1d5b","1431538463","2016","3","male","fraternity","frat","yes","21","yes"
"2","f98abf067bcc9772630fdd3459cfaf0223657b3c535535983cc56f0bdf523008","1431538666","2016","3","female","off_campus","sorority","yes","20","yes"
"3","f3b727e409d9e206c5bf4e5a5bf818540ac087be465fb5c3b65aabff99d74986","1431538726","2015","4","female","baker","no","yes","22","yes"
"4","31e1e28130188bd273d65dac2f9f9570ed1cd1ad42075be73bc20e9b532d64c9","1431538736","2016","3","male","macgregor","no","no","19","yes"
"5","ea3d52263e8234eb42b94e45bc3fa6e978bed23cb710c2eb487729f60afc6e7e","1431538896","2015","4","male","fraternity","frat","yes","22","yes"
"6","c3053fc3965dc41f1adc5eaac71e8476b811cd806ef86ef4c2356e4939b65963","1431538975","2018","le1","female","bc","sorority","yes","18","yes"
"7","122bd0fd7aaeb2a0216dea255415bcfd2f8c816bda0045d5ed8f89ff11e50214","1431539029","2016","3","female","baker","no","yes","21","yes"
"8","2327ba52cf6d7fc6980f8d56444eb3956b688d18759087426dc6a09ac1e1fa38","1431539043","2017","2","male","maseeh","no","no","20","yes"
"9","17831f3a43de7676c7cdb59a995611859c8d3e5c474a36e9a527c3c68d0dcbfe","1431539044","2018","le1","female","simmons","sorority","yes","19","yes"
"10","97541c1d2b2430165bbe0103907903fcb9eb7b48cb20d66b9b1330b9cd1f850f","1431539093","2017","2","male","fraternity","frat","no","20","yes"
"11","dffb312a16e505cc7e04de78d763883c649979de109f117a7a9b8a39992a2856","1431539106","2015","4","female","new_house","no","yes","21","yes"
"12","6c1d28a239ee7834cedb5c5e0a49dc1cf969a7e93c28c6b0e0910648c739786d","1431539118","2018","le1","female","maseeh","sorority","yes","19","yes"
"13","0e05d5c2403ca952c70e8d3ca45656e24940acae1994949fe6fb933bec51e71e","1431539201","2015","4","female","east_campus","no","yes","21","yes"
"14","368675bdd56b5c19f4c020589ad227fef4aebca3d83832db6e91f40678c13623","1431539221","2017","2","female","bc","no","yes","19","yes"
"15","873a3620e4b292778984daa9fb07d9dc6baa415c45ba13f6c2075377ad3ee2e1","1431539237","2015","4","female","ilg","no","yes","22","yes"
"16","05f768d1a5f5bd1b7c0b33f4686d9798aa00726a9931459578bb2f14d5cfb520","1431539264","2016","3","male","fraternity","frat","yes","21","yes"
"17","dd79a956114eaaa8e35f4041636b7c0297b5dff76dea3d6f8994df2fb5401648","1431539336","2018","le1","female","baker","sorority","yes","19","yes"
"18","c940986160d393c037167602a3670e31a362c23d81c4f24a6897b729d5d4d471","1431539446","2015","4","male","fraternity","frat","yes","21","yes"
"19","05ee01cf8eaf4b21b3ac308648996ef383376efd90855f896de2964347728eff","1431539464","2015","4","female","off_campus","sorority","yes","21","yes"
"20","7405beabe4dbeb1c3af4e9d92ab17b87b175937c0efa6109eb6cf02b0c18a375","1431539509","2016","3","female","mccormick","no","yes","21","yes"
"21","8668323501d81e4cf673c3699b5ee87730d20cde9ef999586ae99a09b90eb47a","1431539560","2017","2","male","simmons","no","yes","19","yes"
"22","44ccc2bf3395e975f201f384312c014038f119903b88c444da53cfc6195a92f0","1431539596","2017","2","male","macgregor","no","yes","20","yes"
"23","df6505fbb91d6281b981c1c7f850bc8238c51d5433ecf1e3621d41afff9119cc","1431539623","2018","le1","male","baker","no","yes","19","yes"
"24","3d325b6992516aca5d727245549cd9fd62031c944e0b4a3bbceedc8e489c45c9","1431539636","2018","le1","female","macgregor","sorority","yes","18","yes"
"25","cf75e42e5093403a40590e25ecb01df1bf7f71ebf3b23b3cfb9bc62dd08598e0","1431539657","2016","3","male","east_campus","no","yes","20","yes"
"26","07766ff6f94cc55a1fd972e7c670a3aa043155cc53b1d3eb1adfb5ea42a1703f","1431539724","2016","3","female","new_house","no","yes","20","yes"
"27","608f15e6cf876bf93d7ee94f222b7d449e9c54d5835de6e81c3db91e3ce1c9c2","1431539731","2016","3","female","ilg","no","yes","20","yes"
"28","21c882976918e2d85dbc0fe94fad2989b4a83ca302857dbe3140bc97090c7e3a","1431539737","2016","3","male","fraternity","frat","yes","21","yes"
"29","95735fb3d718afd10e8be1423849a444df3a38ab2c3c7d43b5c42840c0c7423c","1431539826","2017","2","female","macgregor","no","yes","20","yes"
"30","2a9c302278df92820253041ef6ab42e2547ce2bfa10e06ea42ac237a765843f5","1431539833","2015","4","male","other","no","yes","21","yes"
"31","c759597b339831f55a954a081fe3bcc9a8f4e450e1380db3cebbf0a29d7e9045","1431539865","2018","le1","male","bc","frat","yes","18","yes"
"32","ffa5b448763735618dd77cdafd5e4891d6748d040082f6f5a54ae9f94c88b87b","1431539864","2017","2","male","fraternity","frat","yes","20","yes"
"33","e28d6189f2653d557354f2d6ab7fc225ddbfe91a320b2554869d9226a592c525","1431539877","2015","4","male","other","no","yes","22","yes"
"34","a261f21cf27bc66ebbeb36233572d9d1de0c3022f88cb398713cc63026bb7e33","1431539943","2016","3","male","fraternity","frat","yes","20","yes"
"35","c1c22be89e5e2db698c06bd6fe8e673593eb100e1cac949ee21d86faa2dd7fbe","1431539962","2018","le1","female","baker","sorority","yes","18","yes"
"36","a1145c0ce84c0b4c65aa2bc58e1b6752fd17e7e869396e41d01d6218f056da59","1431539992","2016","3","female","other","sorority","yes","20","yes"
"37","91ff52deafb7c36df442f5b616a985c749240917e6726bfdd244ee51679cfa73","1431540012","2015","4","female","sorority","sorority","yes","21","yes"
"38","5e32a50b077fecaa50af0ca0cbd53fb360c056200325225c7be0c29e97f222d4","1431540014","2017","2","female","simmons","frat","yes","19","yes"
"39","9b4c8bd05116855f87bdd029901358374512116fde17b9ca5c3be313d01cdca8","1431540081","2018","le1","female","simmons","no","yes","17","yes"
"40","9475bc99ab053c530951036de71521495cf9559afa4c89fe4e4e63c408cc369b","1431540154","2017","2","male","simmons","no","yes","20","yes"
"41","77759f5dc3e0e2b98b8373bbb4e6fa7296c022c923b3a9d4afe3a276be26ab2c","1431540191","2016","3","male","fraternity","frat","yes","20","yes"
"42","a153efde2c15cad664b0e770c8f3f5088131718a5eeb419f0b4abbb6219d5be9","1431540227","2018","le1","female","new_house","no","yes","19","yes"
"43","804404bb7c10a4e903df0b2ee6ed3fb6771343da52651ddd673a14a84526bc6f","1431540348","2018","le1","other","east_campus","no","no","18","yes"
"44","8c8c69b3870c853f7b380fc7bcad0812dd0328f7567f99e3bec81a67f6c856d8","1431540363","2017","2","male","east_campus","no","no","19","yes"
"45","900d1e20148ddf54ee4334116f304e9fea9e1f5f157cb11dd380f927c9432636","1431540365","2017","2","female","simmons","no","yes","20","yes"
"46","7fbfa27d16d424cd91b56d75f453a2c997c787911f8bb103c9051855d60b31fa","1431540395","2016","3","female","east_campus","no","yes","21","yes"
"47","02f4a6717b4edadab38a9bd515bbc40f22802612233a297163bc79d36de851e1","1431540432","2018","le1","female","macgregor","no","yes","18","yes"
"48","13926aa0412ccce40b23a7cd587bd7dfa40f4c0fcb4ccee170a4f38f4fa41b07","1431540488","2018","le1","female","simmons","no","yes","18","yes"
"49","4ae2cc2112d7e066d5e6aad2109bbf2b7c7b8806f4c34894a5b77185b6bc8818","1431540491","2015","4","male","maseeh","no","yes","22","yes"
"50","e3a1f59ed15c55a852c5f3c43fc6836082437aab1916ab94318b14851357ca54","1431540490","2016","3","female","simmons","sorority","yes","21","yes"
"51","506462d3f4428e45eac66651f78dc216cb06b0ba13db96f0a5b8d52a78361695","1431540521","2017","2","female","east_campus","no","yes","19","yes"
"52","9b2768cdaf57491a9bea06a9bdc70a349ec412d57beef04a464945fe5256a22c","1431540529","2016","3","male","bc","no","yes","21","yes"
"53","8fefa839024a343ee8611263895c6dd7f23b3932f621ccb894d22b53d4e3dad0","1431540545","2018","le1","female","simmons","no","yes","18","yes"
"54","6fd5564f4413b838c13fc3807499c0273641e972e60a7359484ec423b15c1757","1431540545","2018","le1","female","bc","sorority","yes","19","yes"
"55","1b55b177de549234159dc51bd264b664bee5685b915497ef59b0705d1bbbc002","1431540582","2015","4","male","fraternity","frat","yes","22","yes"
"56","54c18f13c7310a2f07a4e6edb89e6d980258158e093022aebd0ee88e45d2bd38","1431540598","2017","2","female","macgregor","no","yes","20","yes"
"57","5c2e3c6eba9cc8757bd649fe4d7a9d8bd7560e2b43a1923749ac42587af7d182","1431540681","2015","4","female","sorority","sorority","yes","22","yes"
"58","f91e7822bf580eb2ba04d0f27760df6482661589c887e46aaf6c39872660e8c4","1431540741","2017","2","female","sorority","sorority","yes","19","yes"
"59","399a6f03e01e035d883884148ddd42e690df09f2eb468e4dc9ff939d46a26207","1431540740","2015","4","male","new_house","no","yes","21","yes"
"60","65291eaba478c31f2eb0452a64b65b7204016b3d02bd5fba53ac5f728ea9786a","1431540768","2018","le1","male","simmons","frat","yes","18","yes"
"61","8d57ffe32c0146df0db603b61eb23979fd7d32d1fed967e0bf6437f2431d7635","1431540783","2016","3","male","east_campus","no","yes","20","yes"
"62","f5ca05bfa003fa03e7974523500b0d8c74eb325687a50d20e639437cf008649a","1431540894","2018","le1","female","macgregor","no","yes","19","yes"
"63","a3e8233491e726289dd284e3a69de52d06ecb42838b5517adc867828c6a6174d","1431540914","2017","2","male","fraternity","frat","yes","19","yes"
"64","1d0e9fb8da2309995fd77d9c69d25c23d78c7a2d309f5a0d3cbde50cc5a34a7a","1431540950","2016","3","male","next_house","frat","yes","21","yes"
"65","ee6bb8293bd50df2d6379788c045831b537196cb6c20c81e485fb97da91970d3","1431540959","2015","4","male","fraternity","frat","yes","22","yes"
"66","2f93b9b0df1934dc3421e09686c359fbf87fda527f3202063d398f223137580b","1431540964","2016","4","male","ilg","no","yes","21","yes"
"67","7e2908e03e4faa68384d74c030cd98156ab8fb1fe2690bc59d1ccb5a436a3c33","1431540973","2018","le1","female","east_campus","no","yes","18","yes"
"68","dbedc7d8a7da66f9181731cb7cfc08116de7910a7c23b451a4c2582214598275","1431541041","2018","le1","female","macgregor","no","yes","18","yes"
"69","e0692a494a2f5d92ee5330de3867ac1126d93fef31d6b2e502f97412fbfe74a1","1431541054","2017","2","female","baker","no","yes","20","yes"
"70","1a5b9620323fd1b2b3048c5849cfd54e77495c5ef76776d177311677984d43bc","1431541072","2017","2","male","simmons","no","yes","20","yes"
"71","17dae89679082b4355b5ce8e95e68c074011306f300f20305577ce8f36799552","1431541084","2015","4","male","fraternity","frat","yes","22","yes"
"72","1dde78f60384f63a75496d283a0e632e9c7ee75e58cbef95733b8b22ef50ecfd","1431541096","2016","3","male","fraternity","frat","no","21","yes"
"73","95bd4da3544c3bc17ec517ec57f021b234ca6d51349c0d8804fb3613bf75500d","1431541111","2015","4","male","east_campus","no","yes","21","yes"
"74","d9c7b2fe0d110d105491884120a0feba714fae2a597964adf0890a6f9e0c6f4d","1431541138","2018","le1","female","bc","sorority","yes","19","yes"
"75","157be3d862ca70be56d6f342fda566157a01cd9908aa2f089b9a43b3927a94bc","1431541161","2018","le1","female","macgregor","sorority","yes","19","yes"
"76","8ee94aa01cc03db386bf2cf55c174fe978aba55d5a311f1f2e9a8507d1c212d1","1431541156","2018","le1","female","macgregor","sorority","yes","19","yes"
"77","1fd3edbeae5084cf13a90c7d85cfcec5eeb9fb310c5a592cf4053524585fcbb3","1431541185","2017","2","male","senior_house","no","yes","20","yes"
"78","4b696a94ddd525cad56eb6cd8079d2b0be3a316be31dca8fdecd8392723f9ab6","1431541235","2017","2","male","fraternity","frat","yes","21","yes"
"79","4c6485ef17cc82c4fc126400a0f47a5c1ae96922efb5a80804019bebcbb9aea0","1431541228","2015","4","female","simmons","no","yes","22","yes"
"80","5a602bdfe2b03bd50553afbed792d47a6b22410bbc58ac18486d44b7a9ecf706","1431541244","2018","le1","female","maseeh","sorority","yes","18","yes"
"81","71630e8910c97c82b435b0d8b29d341448db2c9d2c179cbafc662e075d5c61b6","1431541244","2017","4","male","east_campus","no","yes","20","yes"
"82","101626d100f9845511f58a5de1323f230a1b58a923ceaff5a86917792c119b09","1431541250","2018","le1","male","bc","frat","yes","19","yes"
"83","8d86f303910b5f0d182306caa2eb49653f3abdbfa07a741765425fe9ca027d4e","1431541268","2017","2","female","east_campus","no","yes","18","yes"
