q.number,q.text,desc
pdq1,What is your class year?,class_year
pdq2,How many academic years of MIT will you have completed by June 2015?,sem_num
pdq3,What gender do you identify as?,gender
pdq4,What is your current or most recent place of residence or living group?,res
pdq5,"Whether you live there or not, are you a member of a fraternity or sorority?",greek
pdq6,Did you attend high school completely or primarily in the U.S.?,hs
pdq7,What is your age?,age
pdq8,Are you currently an MIT undergraduate?,ugrad
p1q1,How many of your parents use tobacco in any form at least once per week?,
p1q2,Do you know at least one current or recent MIT undergrad (not including yourself) who uses tobacco or nicotine products about once per week or more frequently?,
p1q3,"As an incoming student, did you think you would ever use tobacco or nicotine products while at MIT?",
p1q4a,What are your perceptions of the following actions: Smoking cigarettes nearly every day,
p1q4b,Using an E-cigarette nearly every day,
p1q5a,What do you think are the average MIT student's perceptions of the following actions:Smoking cigarettes nearly every day,
p1q5b,What do you think are the average MIT student's perceptions of the following actions: Using an E-cigarette nearly every day,
p1q6,"Did you ever, even once, use a tobacco or nicotine product before starting at MIT?",
p1q6a,At what age did you first use a tobacco or nicotine product?,
p1q7,"Have you ever, even once, used a tobacco or nicotine product since starting at MIT?",
p1q7a,What forms of tobacco or nicotine products have you used? (Check all that apply),
p1q7b,Which of the following best describes your tobacco/nicotine product use within the last 12 months?,
p1q8,Do you know at least one current or recent MIT undergrad (not including yourself) who drinks alcohol about once per week or more frequently?,
p1q9,"During a typical month during the academic year, how many events do you typically attend that you would consider parties?",
p1q10,"Of the events referred to in the last question, at how many was alcohol served?",
p1q11,About how many alcoholic drinks do you think the typical MIT undergraduate usually has when they go to a party?,
p1q12,About how many alcoholic drinks do you usually have when you go to a party?,
p1q13,How do you think the average MIT student’s alcohol use compares to the alcohol use of the average student at other universities your friends attend?,
p1q14,What is your perception of MIT’s education on alcohol safety?,
p1q15,"As an incoming student, did you think you would ever drink alcohol while at MIT?",
p1q16,"As an incoming student, did you think you would ever drink alcohol at MIT while under 21 years of age?",
p1q17a,What are your perceptions of the following actions:Having five or more alcoholic drinks in one sitting,
p1q17b,Having one or two alcoholic drinks nearly every day,
p1q17c,Having one or two alcoholic drinks per month,
p1q18a,What do you think are the average MIT student's perceptions of the following actions:Having five or more alcoholic drinks in one sitting,
p1q18b,Having one or two alcoholic drinks nearly every day,
p1q18c,Having one or two alcoholic drinks per month,
p1q19,Has anyone ever attempted to sneak a drug into your drink at a party or event held on MIT’s campus or hosted by an MIT FSILG?,
p1q20,Have you ever experienced an attempted or completed sexual assault by someone who was under the influence of alcohol at a party or event held on MIT’s campus or hosted by an MIT FSILG?,
p1q21,How do you feel about your ability and knowledge to care for someone who has had too much to drink but who you do not think needs attention from medical professionals?,
p1q22,How do you feel about your ability to judge whether to call for help from medical professionals to treat someone who has had too much to drink?,
p1q23,How many times in the past 12 months have you seen someone who you thought was in physical danger as a result of alcohol poisoning?,
p1q24,How many times in the past 12 months have you been in the presence of someone drinking alcohol while not drinking alcohol or under the influence of alcohol yourself?,
p1q25,How many times in the past 12 months have you been in the presence of a person under the age of 21 drinking alcohol while not drinking alcohol or under the influence of alcohol yourself?,
p1q26,"Did you ever, even once, have an alcoholic drink (as defined above) before starting at MIT?",
p1q26a,At what age did you first have an alcoholic drink?,
p1q27,"Have you ever, even once, had an alcoholic drink since starting at MIT?",
p1q27a,"During this time, have you ever, even once, had an alcoholic drink while under 21 years of age?",
p1q27b,Which of the following best describes your alcohol use within the last 12 months?,
p1q28,Have you ever had a hearing with MIT’s Committee on Discipline related to alcohol?,
p1q29,Do you know at least one current or recent MIT undergrad (not including yourself) who has ever used marijuana?,
p1q30,Do you know at least one current or recent MIT undergrad (not including yourself) who uses marijuana about once per week or more frequently?,
p1q31,"What opinion, if any, do you have about the legalization of marijuana for medical use in the United States?",
p1q32,"What opinion, if any, do you have about the legalization of marijuana for recreational use in the United States?",
p1q33,"As an incoming student, did you think you would ever use marijuana while at MIT?",
p1q34a,What are your perceptions of the following actions: Trying marijuana once or twice,
p1q34b,Using marijuana occasionally,
p1q34c,Using marijuana regularly,
p1q35a,What do you think are the average MIT student's perceptions of the following actions:Trying marijuana once or twice,
p1q35b,Using marijuana occasionally,
p1q35c,Using marijuana regularly,
p1q36,How many times in the past 12 months have you been in the presence of someone using marijuana while not using marijuana or under the influence of marijuana yourself?,
p1q37,"Did you ever, even once, use marijuana before starting at MIT?",
p1q37a,At what age did you first use marijuana?,
p1q38,"Have you ever, even once, used marijuana since starting at MIT?",
p1q38a,Which of the following best describes your use of marijuana within the last 12 months?,
p1q39,Have you ever sold marijuana while an undergraduate at MIT?,
p1q40,Have you ever had a hearing with MIT’s Committee on Discipline related to marijuana?,
p2q1,Do you know at least one current or recent MIT undergrad (not including yourself) who has ever used a hallucinogen?,know_halluc
p2q2,Do you know at least one current or recent MIT undergrad (not including yourself) who has ever used cocaine?,know_cocaine
p2q3,Which of the following best describes your perception of MIT’s education on drug safety for drugs other than alcohol?,drug_safety
p2q4,How do you feel about your ability and knowledge to care for someone who has had too much of a psychedelic substance?,care_psy
p2q5,How do you feel about your ability and knowledge to care for someone who has had too much cocaine or know when to call for medical attention?,care_cocaine
p2q6,How many times in the past 12 months have you seen someone who you believed to be in medical danger as a result of their use of drugs other than alcohol?,drug_danger
p2q7a,What are your perceptions of the following actions: Trying cocaine once or twice,uper_cocaine_12
p2q7b,Taking cocaine regularly,uper_cocaine_reg
p2q7c,"Trying prescription amphetamines (e.g., Adderall) once or twice without a prescription",uper_add_12
p2q7d,"Using prescription amphetamines (e.g., Adderall) without a prescription to enhance academic performance",uper_add_academic
p2q7e,Taking steroids for bodybuilding or improved athletic performance,uper_steroids
p2q7f,Trying LSD once or twice,uper_lsd_12
p2q7g,Using LSD regularly,uper_lsd_reg
p2q8a,What do you think are the average MIT student's of the following actions: Trying cocaine once or twice,per_cocaine_12
p2q8b,Taking cocaine regularly,per_cocaine_reg
p2q8c,"Trying prescription amphetamines (e.g., Adderall) once or twice without a prescription",per_add_12
p2q8d,"Using prescription amphetamines (e.g., Adderall) without a prescription to enhance academic performance",per_add_academic
p2q8e,Taking steroids for bodybuilding or improved athletic performance,per_steroids
p2q8f,Trying LSD once or twice,per_lsd_12
p2q8g,Using LSD regularly,per_lsd_reg
p2q9,Do you know at least one current or recent MIT undergrad (not including yourself) who has ever synthesized an illegal drug or grown a plant or fungus to be used in the production of an illegal drug while at MIT?,know_make_drug
p2q10,Have you ever synthesized an illegal drug or grown a plant or fungus to be used in the production of an illegal drug while at MIT?,umake_drug
p2q11,How many times in the past 12 months have you been in the presence of someone using illegal drugs other than marijuana while not using illegal drugs or under the influence of such drugs yourself?,others_use_drugs
p2q12,"If and when you consider trying a drug for the first time, what types of research do you do beforehand? Mark all that apply:",drug_research
